kartez,family,genus,sp_epithet,subspecies_variety,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup
RUAL4,Polygonaceae,Rumex,altissimus,,pale dock,y,C3,p,f
RUCR,Polygonaceae,Rumex,crispus,,curly dock,y,C3,p,f
RUSAM,Polygonaceae,Rumex,salicifolius,var. mexicanus,Mexican dock,y,C3,p,f
SAAB,Asteraceae,Sanvitalia,abertii,,Albert's creeping zinnia,y,C3,a,f
SACU,Alismaceae,Sagittaria,cuneata,,arumleaf arrowhead,y,C3,p,f
SAEX,Salicaceae,Salix,exigua,,narrowleaf willow,y,C3,p,t
SAFL5,Asteraceae,Sartwellia,flaveriae,,threadleaf glowwart,y,C3,p,f
SAGO,Salicaceae,Salix,gooddingii,,Goodding's willow,y,C3,p,t
SAHE3,Lamiaceae,Salvia,henryi,,crimson sage,y,C3,p,f
SAKA,Chenopodiaceae,Salsola,kali,,Russian thistle,n,C4,a,f
SASU7,Lamiaceae,Salvia,subincisa,,sawtooth sage,y,C3,a,f
SATR12,Chenopodiaceae,Salsola,tragus,,prickly Russian thistle,n,C4,a,f
SCAM6,Cyperaceae,Schoenoplectus,americanus,,chairmaker's bulrush,y,NA,p,g
SCBR2,Poaceae,Scleropogon,brevifolius,,burrograss,y,C4,p,g
SCLA6,Asteraceae,Scorzonera,laciniata,,cutleaf vipergrass,n,C3,p,f
SCLI,Brassicaceae,Schoenocrambe,linifolia,,flaxleaf plainsmustard,y,C3,p,f
SCLI12,Brassicaceae,Schoenocrambe,linearifolia,,slimleaf plainsmustard,y,C3,p,f
SCMU6,Asteraceae,Schkuhria,multiflora,,manyflower false threadleaf,y,C3,a,f
SCPA10,Cactaceae,Sclerocactus,papyracanthus,,paperspine fishhook cactus,y,CAM,p,s
SCSAH,Poaceae,Schizachyrium,sanguineum,var. hirtiflorum,crimson bluestem,y,C4,p,g
SCSC,Poaceae,Schizachyrium,scoparium,,little bluestem,y,C4,p,g
SEBA3,Fabaceae,Senna,bauhinioides,,twinleaf senna,y,C3,p,f
SEDI3,Nyctaginaceae,Selinocarpus,diffusus,,spreading moonpod,y,C3,p,s
SEFL3,Asteraceae,Senecio,flaccidus,,threadleaf ragwort,y,NA,p,f
SEFLD,Asteraceae,Senecio,flaccidus,var. douglasii,Douglas' ragwort,y,NA,p,f
SEFLF,Asteraceae,Senecio,flaccidus,var. flaccidus,threadleaf ragwort,y,C3,p,f
SELA3,Nyctaginaceae,Selinocarpus,lanceolatus,,lanceleaf moonpod,y,C3,p,f
SELE6,Poaceae,Setaria,leucopila,,streambed bristlegrass,y,NA,p,g
SEMA5,Poaceae,Setaria,macrostachya,,large-spike bristlegrass,y,C4,p,g
SEMUM,Selaginellaceae,Selaginella,mutica,var. mutica,bluntleaf spikemoss,y,C3,p,f
SEPU8,Poaceae,Setaria,pumila,,yellow foxtail,n,NA,a,g
SESPM,Asteraceae,Senecio,spartoides,var. multicapitatus,broom-like ragwort,y,NA,p,f
SEUN,Selaginellaceae,Selaginella,underwoodii,,Underwood's spikemoss,y,C3,p,f
SEVI4,Poaceae,Setaria,viridis,,green bristlegrass,y,C4,a,g
SIAL2,Brassicaceae,Sisymbrium,altissimum,,NA,n,C3,a,f
SIAN2,Caryophyllaceae,Silene,antirrhina,,sleepy silene,y,C3,a,f
SIIR,Brassicaceae,Sisymbrium,irio,,London rocket,n,C3,a,f
SIPL,Caryophyllaceae,Silene,plankii,,Plank's catchfly,y,C3,p,f
SOAS,Asteraceae,Sonchus,asper,,spiny sowthistle,n,C3,a,f
SOCAG,Asteraceae,Solidago,canadensis,var. gilvocanescens,shorthair goldenrod,y,NA,p,f
SOEL,Solanaceae,Solanum,elaeagnifolium,,silverleaf nightshade,y,C3,p,f
SOHA,Poaceae,Sorghum,halepense,,Johnsongrass,n,C4,p,g
SOHE,Solanaceae,Solanum,heterodoxum,,melonleaf nightshade,y,C3,a,f
SOJA,Solanaceae,Solanum,jamesii,,NA,y,C3,p,f
SONU,Fabaceae,Sophora,nuttalliana,,silky sophora,y,C3,p,f
SOVE6,Asteraceae,Solidago,velutina,,threenerve goldenrod,y,C3,p,f
SPAI,Poaceae,Sporobolus,airoides,,alkali sacaton,y,C4,p,g
SPCO4,Poaceae,Sporobolus,contractus,,spike dropseed,y,C4,p,g
SPCOC,Malvaceae,Sphaeralcea,coccinea,subsp. coccinea,scalet globemallow,y,C3,p,f
SPCOE,Malvaceae,Sphaeralcea,coccinea,subsp. elata,scarlet globemallow,y,C3,p,f
SPCR,Poaceae,Sporobolus,cryptandrus,,sand dropseed,y,C4,p,g
SPDI3,Malvaceae,Sphaeralcea,digitata,,juniper globemallow,y,C3,p,f
SPDID,Malvaceae,Sphaeralcea,digitata,subsp. digitata,juniper globemallow,y,C3,p,f
SPFE,Malvaceae,Sphaeralcea,fendleri,,Fendler's globemallow,y,C3,p,f
SPFEF,Malvaceae,Sphaeralcea,fendleri,subsp. fendleri,Fendler's globemallow,y,C3,p,f
SPFL2,Poaceae,Sporobolus,flexuosus,,mesa dropseed,y,C4,p,g
SPGI,Poaceae,Sporobolus,giganteus,,giant dropseed,y,C4,p,g
SPGRP2,Malvaceae,Sphaeralcea,grossulariifolia,subsp. pedata,gooseberryleaf globemallow,y,C3,p,f
SPHA,Malvaceae,Sphaeralcea,hastulata,,spear globemallow,y,C3,p,f
SPHAE,Malvaceae,Sphaeralcea,NA,,globemallow,y,C3,p,f
SPIN2,Malvaceae,Sphaeralcea,incana,,gray globemallow,y,C3,p,f
SPLA,Malvaceae,Sphaeralcea,laxa,,caliche globemallow,y,C3,p,f
SPLE,Malvaceae,Sphaeralcea,leptophylla,,scaly globemallow,y,C3,p,f
SPNE,Poaceae,Sporobolus,nealleyi,,gyp dropseed,y,C4,p,g
SPORO,Poaceae,Sporobolus,NA,,dropseed,y,C4,p,g
SPPO6,Malvaceae,Sphaeralcea,polychroma,,hot springs globemallow,y,C3,p,f
SPPR3,Malvaceae,Sphaeralcea,procera,,Luna County globemallow,y,C3,p,f
SPWR,Malvaceae,Sphaeralcea,wrightii,,Wright's globemallow,y,C3,p,f
SPWR2,Poaceae,Sporobolus,wrightii,,big sacaton,y,C4,p,g
STCAC,Brassicaceae,Streptanthus,carinatus,subsp. carinatus,lyreleaf jewelflower,y,C3,a,f
STLO,Caryophyllaceae,Stellaria,longifolia,,longleaf starwort,y,C3,p,f
STMIM,Asteraceae,Stephanomeria,minor,var. minor,narrowleaf wirelettuce,y,NA,p,f
STPA4,Asteraceae,Stephanomeria,pauciflora,,brownplume wirelettuce,y,C3,p,f
SUMO,Chenopodiaceae,Suaeda,moquinii,,Mojave seablite,y,NA,p,s
SUSU,Chenopodiaceae,Suaeda,suffrutescens,,desert seepweed,y,C4,p,s
SYDI2,Asteraceae,Symphyotrichum,divaricatum,,southern annual saltmarsh aster,y,NA,a,f
SYFAC,Asteraceae,Symphyotrichum,falcatum,var. commutatum,white prairie aster,y,NA,p,f
SYLAH6,Asteraceae,Symphyotrichum,lanceolatum,subsp. hesperium var. hesperium,white panicle aster,y,NA,p,f
SYPA,Caprifoliaceae,Symphoricarpos,palmeri,,Palmer's snowberry,y,C3,p,s
SYPRP,Asteraceae,Symphyotrichum,praealtum,var. praealtum,willowleaf aster,y,NA,p,f
SYRO,Caprifoliaceae,Symphoricarpos,rotundifolius,,roundleaf snowberry,y,C3,p,s
TACH2,Tamaricaceae,Tamarix,chinensis,,five-stamen tamarisk,n,C3,p,t
TARA,Tamaricaceae,Tamarix,ramosissima,,saltcedar,n,C3,p,t
TEAR4,Asteraceae,Tetraneuris,argentea,,perkysue,y,C3,p,f
TECO,Verbenaceae,Tetraclea,coulteri,,Coulter's wrinklefruit,y,C3,p,f
TELA,Lamiaceae,Teucrium,laciniatum,,lacy germander,y,C3,p,f
THAC,Asteraceae,Thymophylla,acerosa,,pricklyleaf dogweed,y,C3,p,f
THFE,Ranunculaceae,Thalictrum,fendleri,,Fendler's meadow-rue,y,C3,p,f
THLO,Asteraceae,Thelesperma,longipes,,longstalk greenthread,y,C3,p,f
THME,Asteraceae,Thelesperma,megapotamicum,,Hopi tea greenthread,y,C3,p,f
THPEB,Asteraceae,Thymophylla,pentachaeta,var. belenidium,fiveneedle pricklyleaf,y,NA,p,f
THPU3,Brassicaceae,Thelypodiopsis,purpusii,,Purpus' tumblemustard,y,C3,a,f
THWR,Brassicaceae,Thelypodium,wrightii,,Wright's thelypody,y,C3,p,f
TICA3,Boraginaceae,Tiquilia,canescens,,woody crinklemat,y,C3,p,s
TICAC,Boraginaceae,Tiquilia,canescens,var. canescens,woody crinklemat,y,NA,p,s
TIHI,Boraginaceae,Tiquilia,hispidissima,,hairy crinklemat,y,C3,p,s
TILA2,Amaranthaceae,Tidestromia,lanuginosa,,wooly tidestromia,y,C4,a,f
TOAN,Asteraceae,Townsendia,annua,,annual Townsend daisy,y,C3,a,f
TOEX,Asteraceae,Townsendia,eximia,,tall Townsend daisy,y,C3,p,f
TOEX2,Asteraceae,Townsendia,exscapa,,stemless Townsend daisy,y,C3,p,f
TRAE,Poaceae,Triticum,aestivum,,common wheat,n,C3,a,g
TRBE,Poaceae,Tragus,berteronianus,,spiked bur grass,y,C3,a,g
TRCAW2,Nyctaginaceae,Tripterocalyx,carneus,var. wootonii,Wooton's sandpuffs,y,C3,a,f
TRDU,Asteraceae,Tragopogon,dubius,,yellow salsify,n,C3,a,f
TRMA20,Juncaginaceae,Triglochin,maritimum,,seaside arrowgrass,y,NA,p,g
TRMI6,Nyctaginaceae,Tripterocalyx,micranthus,,smallflower sandverbena,y,C3,a,f
TRMU,Poaceae,Tridens,muticus,,slim tridens,y,C4,p,g
TRMUE,Poaceae,Tridens,muticus,var. elongatus,slim tridens,y,C4,p,g
TRPI,Commelinaceae,Tradescantia,pinetorum,,pinewoods spiderwort,y,C3,p,f
TRPO2,Aizoaceae,Trianthema,portulacastrum,,desert horsepurslane,y,C4,p,f
TRRA,Poaceae,Tragus,racemosus,,stalked bur grass,y,C3,a,g
TRRA5,Euphorbiaceae,Tragia,ramosa,,branched noseburn,y,C3,p,f
TRTE,Zygophyllaceae,Tribulus,terrestris,,punturevine,n,C4,a,f
TYDO,Typhaceae,Typha,domingensis,,southern cattail,n,NA,p,f
TYLA,Typhaceae,Typha,latifolia,,broadleaf cattail,n,NA,p,f
VEAN2,Scrophulariaceae,Veronica,anagallis-aquatica,,water speedwell,y,C3,p,f
VEBR,Verbenaceae,Verbena,bracteata,,bigbract verbena,y,C3,p,f
VEEN,Asteraceae,Verbesina,encelioides,,golden crownbeard,y,NA,a,f
VEENE2,Asteraceae,Verbesina,encelioides,subsp. exauriculata,golden crownbeard,y,C3,a,f
VEENE3,Asteraceae,Verbesina,encelioides,subsp. encelioides,golden crownbeard,y,C3,a,f
VENEH,Verbenaceae,Verbena,neomexicana,var. hirtella,hillside vervain,y,C3,p,f
VIAR2,Vitaceae,Vitis,arizonica,,canyon grape,y,C3,p,s
VIDE3,Asteraceae,Viguiera,dentata,,toothleaf goldeneye,y,C3,p,f
VILUL2,Fabaceae,Vicia,ludoviciana,subsp. ludoviciana,Lousiana vetch,y,C3,a,f
VUOC,Poaceae,Vulpia,octoflora,var. glauca,sixweeks fescue,y,C3,a,g
WONE,Dryopteridaceae,Woodsia,neomexicana,,New Mexico cliff fern,y,C3,p,f
XASP2,Asteraceae,Xanthium,spinosum,,spiny cocklebur,n,C3,a,f
XAST,Asteraceae,Xanthium,strumarium,,rough cocklebur,y,NA,a,f
XASTC,Asteraceae,Xanthium,strumarium,var. canadense,Canada cocklebur,y,C3,a,f
XASTG,Asteraceae,Xanthium,strumarium,var. glabratum,rough cocklebur,y,NA,a,f
YUBA,Agavaceae,Yucca,baccata,,banana yucca,y,CAM,p,s
YUBAI,Agavaceae,Yucca,baileyi,var. intermedia,intermediate yucca,y,CAM,p,s
YUEL,Agavaceae,Yucca,elata,,soaptree yucca,y,CAM,p,s
YUGL,Agavaceae,Yucca,glauca,,soapweed yucca,y,CAM,p,s
ZIGR,Asteraceae,Zinnia,grandiflora,,Rocky Mountain zinnia,y,C3,p,s
